p,dVEA,dLat,latB,latR,veaB,veaR,npB,npR
bcb_test_00000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
bcb_test_00006,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
bcb_test_00009,-25.4,6.899999999999998,19.600000000000005,26.5,30.4,5.0,0.05,0.3
bcb_test_00014,-25.5,0.0,0.0,0.0,26.0,0.5,0.0,0.0
bcb_test_00016,-23.66522366522366,6.469456469456471,2.525252525252525,8.994708994708995,25.25252525252525,1.5873015873015872,0.0,0.0
bcb_test_00019,-28.140703517587934,-1.5125628140703518,2.512562814070352,1.0,28.140703517587934,0.0,0.0,0.0
bcb_test_00021,-6.8500000000000005,16.850000000000005,5.0,21.85,11.000000000000002,4.15,0.0,0.05
bcb_test_00027,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
bcb_test_00052,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
bcb_test_00058,-6.5,-1.5000000000000002,1.5000000000000002,0.0,6.5,0.0,0.0,0.0
bcb_test_00064,-7.368421052631578,-1.0526315789473684,1.0526315789473684,0.0,7.368421052631578,0.0,0.0,0.0
bcb_test_00067,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
bcb_test_00069,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
bcb_test_00073,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
bcb_test_00079,-15.5,-5.999999999999997,20.499999999999996,14.499999999999998,15.5,0.0,0.0,0.0
bcb_test_00083,-17.350000000000005,3.8500000000000005,3.9999999999999996,7.85,19.000000000000004,1.6500000000000001,0.0,0.1
bcb_test_00087,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
bcb_test_00096,-22.110552763819094,-0.5050251256281405,1.0050251256281406,0.5,22.110552763819094,0.0,0.0,0.0
bcb_test_00107,-8.5,-2.0,2.0,0.0,8.5,0.0,0.0,0.0
bcb_test_00124,-10.101010101010102,0.0,0.0,0.0,10.101010101010102,0.0,0.0,0.0
bcb_test_00127,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
bcb_test_00130,-15.45,-8.549999999999997,25.55,17.000000000000004,16.45,1.0000000000000002,0.15,0.6
bcb_test_00133,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
bcb_test_00135,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
bcb_test_00157,-7.999999999999999,0.0,0.0,0.0,8.5,0.5,0.0,0.0
bcb_test_00161,-19.730527638190953,-1.8825376884422114,1.5075376884422111,-0.37500000000000006,21.105527638190953,1.3749999999999998,0.0,0.05
bcb_test_00175,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
bcb_test_00181,-11.5,-1.0,1.0,0.0,11.5,0.0,0.0,0.0
bcb_test_00183,-24.000000000000004,-8.673617379884035e-17,0.5,0.49999999999999994,26.5,2.5,0.0,0.0
bcb_test_00186,-9.947643979057592,3.952879581151833,1.0471204188481675,5.0,9.947643979057592,0.0,0.0,0.0
bcb_test_00187,-5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
bcb_test_00215,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
bcb_test_00218,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
bcb_test_00222,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
bcb_test_00239,-17.0,4.0,0.5,4.5,17.5,0.5,0.0,0.0
bcb_test_00242,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
bcb_test_00255,-18.592964824120603,-2.5276381909547743,5.527638190954774,3.0,18.592964824120603,0.0,0.0,0.0
