prompt_id,th_base,th_r260,d_th,vea_base,vea_r260,d_vea,probeP_base,probeP_r260,probeC_base,probeC_r260,n_base,n_r260
bcb_test_00215,1.0,1.0,0.0,0.7,0.03,-0.67,0.157,0.186,0.239,0.217,200,200
bcb_test_00014,0.26,0.005,-0.255,0.735,0.085,-0.65,0.15,0.186,0.29,0.253,200,200
bcb_test_00175,1.0,1.0,0.0,0.615,0.01,-0.605,0.157,0.161,0.26,0.249,200,200
bcb_test_00181,0.125,0.0,-0.125,0.615,0.015,-0.6,0.145,0.163,0.263,0.241,200,199
bcb_test_00133,1.0,1.0,0.0,0.605,0.04,-0.565,0.147,0.168,0.295,0.277,200,200
bcb_test_00073,1.0,1.0,0.0,0.685,0.125,-0.56,0.154,0.165,0.308,0.283,200,200
bcb_test_00016,0.278,0.106,-0.172,0.59,0.035,-0.555,0.169,0.188,0.306,0.288,198,189
bcb_test_00161,0.226,0.06,-0.166,0.55,0.025,-0.525,0.152,0.164,0.27,0.268,199,200
bcb_test_00124,0.101,0.0,-0.101,0.49,0.005,-0.485,0.159,0.18,0.29,0.282,198,200
bcb_test_00019,0.307,0.01,-0.297,0.555,0.08,-0.475,0.151,0.155,0.31,0.288,199,200
bcb_test_00107,0.105,0.0,-0.105,0.485,0.015,-0.47,0.162,0.173,0.28,0.268,200,200
bcb_test_00239,0.18,0.05,-0.13,0.485,0.02,-0.465,0.148,0.17,0.278,0.26,200,200
bcb_test_00058,0.08,0.0,-0.08,0.47,0.005,-0.465,0.144,0.171,0.279,0.256,200,200
bcb_test_00052,1.0,1.0,0.0,0.585,0.13,-0.455,0.158,0.175,0.307,0.286,200,200
bcb_test_00183,0.27,0.03,-0.24,0.595,0.16,-0.435,0.153,0.182,0.309,0.292,200,200
bcb_test_00083,0.23,0.195,-0.035,0.465,0.035,-0.43,0.126,0.155,0.257,0.246,200,200
bcb_test_00242,1.0,1.0,0.0,0.465,0.04,-0.425,0.153,0.174,0.274,0.269,200,200
bcb_test_00064,0.084,0.0,-0.084,0.435,0.01,-0.425,0.144,0.179,0.297,0.277,190,193
bcb_test_00187,0.05,0.0,-0.05,0.435,0.01,-0.425,0.147,0.155,0.278,0.274,200,200
bcb_test_00222,1.0,1.0,0.0,0.42,0.005,-0.415,0.154,0.158,0.256,0.241,200,200
bcb_test_00067,1.0,1.0,0.0,0.415,0.01,-0.405,0.175,0.183,0.226,0.224,200,200
bcb_test_00096,0.231,0.005,-0.226,0.395,0.01,-0.385,0.156,0.179,0.289,0.28,199,200
bcb_test_00255,0.241,0.03,-0.211,0.365,0.005,-0.36,0.158,0.171,0.231,0.223,199,200
bcb_test_00069,1.0,1.0,0.0,0.385,0.03,-0.355,0.148,0.152,0.274,0.273,200,200
bcb_test_00135,1.0,1.0,0.0,0.375,0.03,-0.345,0.153,0.181,0.269,0.258,200,200
bcb_test_00127,1.0,1.0,0.0,0.41,0.07,-0.34,0.161,0.176,0.278,0.261,200,200
bcb_test_00021,0.16,0.31,0.15,0.4,0.07,-0.33,0.15,0.169,0.294,0.289,200,200
bcb_test_00157,0.085,0.005,-0.08,0.365,0.035,-0.33,0.156,0.172,0.305,0.296,200,200
bcb_test_00009,0.55,0.615,0.065,0.42,0.1,-0.32,0.15,0.171,0.283,0.269,200,200
bcb_test_00079,0.36,0.145,-0.215,0.32,0.01,-0.31,0.154,0.179,0.258,0.245,200,200
bcb_test_00000,1.0,1.0,0.0,0.315,0.03,-0.285,0.169,0.16,0.273,0.254,200,200
bcb_test_00027,1.0,1.0,0.0,0.31,0.025,-0.285,0.134,0.164,0.324,0.31,200,200
bcb_test_00087,1.0,1.0,0.0,0.27,0.02,-0.25,0.162,0.186,0.233,0.214,183,200
bcb_test_00186,0.11,0.05,-0.06,0.25,0.0,-0.25,0.131,0.153,0.229,0.219,191,200
bcb_test_00130,0.57,0.78,0.21,0.27,0.025,-0.245,0.133,0.159,0.249,0.246,200,200
bcb_test_00218,1.0,1.0,0.0,0.255,0.015,-0.24,0.164,0.18,0.258,0.248,200,197
bcb_test_00006,1.0,1.0,0.0,0.215,0.04,-0.175,0.149,0.164,0.254,0.261,200,200
