prompt_id,gap_pp,ci_lo,ci_hi,n_r260,n_base
bcb_test_00200,62.78,25.56,90.00,20,9
bcb_test_00174,57.28,33.69,78.95,19,17
bcb_test_00056,46.67,20.00,73.33,15,5
bcb_test_00111,45.00,20.00,70.00,20,20
bcb_test_00230,42.48,7.84,76.47,17,9
bcb_test_00036,41.15,7.18,75.12,19,11
bcb_test_00034,37.50,12.50,62.50,16,14
bcb_test_00099,33.75,10.00,58.75,20,16
bcb_test_00154,31.62,-0.43,63.68,18,13
bcb_test_00184,28.57,7.14,50.00,14,7
bcb_test_00148,25.59,-6.18,54.14,20,17
bcb_test_00244,24.62,-8.08,55.00,20,13
bcb_test_00079,20.71,-6.43,50.00,20,14
bcb_test_00247,20.00,5.00,40.00,20,5
bcb_test_00105,19.29,-15.00,52.87,20,14
bcb_test_00169,18.89,-26.67,55.56,18,5
bcb_test_00165,18.25,-26.98,57.94,18,7
bcb_test_00228,17.65,0.00,41.18,17,7
bcb_test_00131,16.67,-22.22,50.00,18,9
bcb_test_00009,15.56,-22.78,52.78,20,9
bcb_test_00146,15.00,0.00,30.00,20,8
bcb_test_00239,15.00,0.00,30.00,20,10
bcb_test_00053,13.49,-20.63,44.44,18,7
bcb_test_00074,13.07,-21.02,43.76,16,11
bcb_test_00055,12.31,-10.38,35.00,20,13
bcb_test_00017,12.31,-23.08,60.00,13,5
bcb_test_00132,11.11,0.00,27.78,18,12
bcb_test_00007,11.11,0.00,27.78,18,7
bcb_test_00130,10.71,-17.88,44.29,20,14
bcb_test_00026,10.53,0.00,26.32,19,10
bcb_test_00161,10.53,0.00,26.32,19,8
bcb_test_00083,10.00,0.00,25.00,20,11
bcb_test_00125,10.00,0.00,25.00,20,20
bcb_test_00109,10.00,0.00,25.00,20,17
bcb_test_00199,7.14,-28.57,35.71,14,7
bcb_test_00018,5.88,0.00,17.65,17,7
bcb_test_00042,5.56,0.00,16.67,18,8
bcb_test_00214,5.56,0.00,16.67,18,10
bcb_test_00248,5.56,0.00,16.67,18,13
bcb_test_00217,5.56,0.00,16.67,18,12
bcb_test_00176,5.56,0.00,16.67,18,19
bcb_test_00246,5.26,0.00,15.79,19,5
bcb_test_00014,5.26,0.00,15.79,19,6
bcb_test_00076,5.26,0.00,15.79,19,5
bcb_test_00236,5.00,0.00,15.00,20,7
bcb_test_00191,5.00,0.00,15.00,20,9
bcb_test_00141,5.00,0.00,15.00,20,15
bcb_test_00019,5.00,0.00,15.00,20,11
bcb_test_00250,5.00,0.00,15.00,20,11
bcb_test_00080,5.00,0.00,15.00,20,17
bcb_test_00226,5.00,0.00,15.00,20,18
bcb_test_00089,5.00,0.00,15.00,20,12
bcb_test_00216,5.00,0.00,15.00,20,17
bcb_test_00110,5.00,0.00,15.00,20,5
bcb_test_00021,2.73,-33.64,35.00,20,11
bcb_test_00167,0.00,-45.00,35.00,20,5
bcb_test_00012,0.00,0.00,0.00,18,5
bcb_test_00020,0.00,0.00,0.00,19,9
bcb_test_00144,0.00,0.00,0.00,18,5
bcb_test_00151,0.00,0.00,0.00,20,13
bcb_test_00067,0.00,0.00,0.00,20,9
bcb_test_00234,0.00,0.00,0.00,20,7
bcb_test_00203,0.00,0.00,0.00,17,10
bcb_test_00204,0.00,0.00,0.00,18,6
bcb_test_00086,0.00,0.00,0.00,20,11
bcb_test_00224,0.00,0.00,0.00,20,10
bcb_test_00227,0.00,0.00,0.00,17,11
bcb_test_00207,0.00,0.00,0.00,20,13
bcb_test_00233,0.00,0.00,0.00,20,18
bcb_test_00063,0.00,0.00,0.00,19,6
bcb_test_00194,0.00,0.00,0.00,20,16
bcb_test_00119,0.00,0.00,0.00,18,11
bcb_test_00071,0.00,0.00,0.00,17,7
bcb_test_00171,0.00,0.00,0.00,20,20
bcb_test_00135,0.00,0.00,0.00,20,11
bcb_test_00235,0.00,0.00,0.00,18,15
bcb_test_00153,0.00,0.00,0.00,14,14
bcb_test_00001,0.00,0.00,0.00,16,6
bcb_test_00249,0.00,0.00,0.00,20,15
bcb_test_00134,0.00,0.00,0.00,20,8
bcb_test_00087,0.00,0.00,0.00,19,10
bcb_test_00229,0.00,0.00,0.00,20,17
bcb_test_00129,0.00,0.00,0.00,19,9
bcb_test_00143,0.00,0.00,0.00,20,19
bcb_test_00187,0.00,0.00,0.00,20,11
bcb_test_00029,0.00,0.00,0.00,19,9
bcb_test_00069,0.00,0.00,0.00,20,13
bcb_test_00123,0.00,0.00,0.00,19,13
bcb_test_00124,0.00,0.00,0.00,20,12
bcb_test_00253,0.00,0.00,0.00,19,9
bcb_test_00050,0.00,0.00,0.00,17,6
bcb_test_00193,0.00,0.00,0.00,18,9
bcb_test_00047,0.00,0.00,0.00,19,16
bcb_test_00181,0.00,0.00,0.00,20,6
bcb_test_00084,0.00,0.00,0.00,20,14
bcb_test_00006,0.00,0.00,0.00,19,13
bcb_test_00215,0.00,0.00,0.00,20,9
bcb_test_00133,0.00,0.00,0.00,19,6
bcb_test_00025,0.00,0.00,0.00,18,10
bcb_test_00183,0.00,0.00,0.00,19,13
bcb_test_00096,0.00,0.00,0.00,20,11
bcb_test_00180,0.00,0.00,0.00,17,6
bcb_test_00209,0.00,0.00,0.00,19,15
bcb_test_00121,0.00,0.00,0.00,20,13
bcb_test_00054,0.00,0.00,0.00,16,5
bcb_test_00091,0.00,0.00,0.00,20,17
bcb_test_00022,0.00,0.00,0.00,19,13
bcb_test_00145,0.00,0.00,0.00,20,19
bcb_test_00212,0.00,0.00,0.00,20,9
bcb_test_00218,0.00,0.00,0.00,20,14
bcb_test_00120,0.00,0.00,0.00,19,9
bcb_test_00190,0.00,0.00,0.00,15,7
bcb_test_00186,0.00,0.00,0.00,20,13
bcb_test_00073,0.00,0.00,0.00,19,8
bcb_test_00219,0.00,0.00,0.00,15,8
bcb_test_00045,0.00,0.00,0.00,19,7
bcb_test_00211,0.00,0.00,0.00,19,14
bcb_test_00198,0.00,0.00,0.00,19,6
bcb_test_00068,0.00,0.00,0.00,20,16
bcb_test_00064,0.00,0.00,0.00,20,12
bcb_test_00040,0.00,0.00,0.00,17,7
bcb_test_00058,0.00,0.00,0.00,19,12
bcb_test_00242,0.00,0.00,0.00,20,12
bcb_test_00115,0.00,0.00,0.00,20,17
bcb_test_00189,0.00,0.00,0.00,20,16
bcb_test_00090,0.00,0.00,0.00,19,18
bcb_test_00000,0.00,0.00,0.00,20,12
bcb_test_00052,0.00,0.00,0.00,19,9
bcb_test_00113,0.00,0.00,0.00,20,14
bcb_test_00127,0.00,0.00,0.00,20,9
bcb_test_00011,0.00,0.00,0.00,20,13
bcb_test_00159,0.00,0.00,0.00,19,15
bcb_test_00075,0.00,0.00,0.00,20,17
bcb_test_00175,0.00,0.00,0.00,20,6
bcb_test_00195,0.00,0.00,0.00,20,7
bcb_test_00112,0.00,0.00,0.00,20,16
bcb_test_00031,0.00,0.00,0.00,16,6
bcb_test_00093,0.00,0.00,0.00,17,6
bcb_test_00114,0.00,0.00,0.00,17,9
bcb_test_00028,0.00,0.00,0.00,15,14
bcb_test_00223,0.00,0.00,0.00,18,14
bcb_test_00156,0.00,0.00,0.00,19,8
bcb_test_00157,0.00,0.00,0.00,20,13
bcb_test_00092,0.00,0.00,0.00,20,10
bcb_test_00147,0.00,0.00,0.00,18,9
bcb_test_00103,0.00,0.00,0.00,17,15
bcb_test_00208,0.00,0.00,0.00,20,17
bcb_test_00041,0.00,0.00,0.00,20,16
bcb_test_00222,0.00,0.00,0.00,20,12
bcb_test_00057,0.00,0.00,0.00,20,11
bcb_test_00016,0.00,0.00,0.00,20,10
bcb_test_00155,0.00,0.00,0.00,20,16
bcb_test_00046,0.00,0.00,0.00,17,7
bcb_test_00168,0.00,0.00,0.00,20,10
bcb_test_00251,0.00,0.00,0.00,19,6
bcb_test_00101,0.00,0.00,0.00,20,7
bcb_test_00010,0.00,0.00,0.00,20,20
bcb_test_00117,0.00,0.00,0.00,20,16
bcb_test_00078,0.00,0.00,0.00,20,6
bcb_test_00116,0.00,0.00,0.00,20,16
bcb_test_00210,0.00,0.00,0.00,20,18
bcb_test_00088,0.00,0.00,0.00,17,6
bcb_test_00102,0.00,0.00,0.00,20,11
bcb_test_00149,0.00,0.00,0.00,20,12
bcb_test_00192,0.00,0.00,0.00,17,6
bcb_test_00027,0.00,0.00,0.00,20,12
